"filename", "language", "JavaScript", "Python", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\APPLICATION\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\APPLICATION\asgi.py", "Python", 0, 10, 0, 0, 0, 7, 17
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\APPLICATION\settings.py", "Python", 0, 94, 0, 0, 19, 42, 155
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\APPLICATION\urls.py", "Python", 0, 18, 0, 0, 0, 3, 21
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\APPLICATION\wsgi.py", "Python", 0, 10, 0, 0, 0, 7, 17
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\activityLog\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\activityLog\admin.py", "Python", 0, 1, 0, 0, 1, 2, 4
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\activityLog\apps.py", "Python", 0, 4, 0, 0, 0, 3, 7
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\activityLog\migrations\0001_initial.py", "Python", 0, 19, 0, 0, 1, 7, 27
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\activityLog\migrations\0002_initial.py", "Python", 0, 16, 0, 0, 1, 7, 24
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\activityLog\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\activityLog\models.py", "Python", 0, 28, 0, 0, 0, 7, 35
