"filename", "language", "JavaScript", "CSS", "HTML", "Python", "comment", "blank", "total"
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\APPLICATION\settings.py", "Python", 0, 0, 0, 5, 0, 4, 9
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\APPLICATION\urls.py", "Python", 0, 0, 0, 3, 0, 0, 3
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\activityLog\apps.py", "Python", 0, 0, 0, 0, 0, -1, -1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\activityLog\utils.py", "Python", 0, 0, 0, 0, -1, 0, -1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\activityLog\views.py", "Python", 0, 0, 0, 1, 0, 0, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\categories\admin.py", "Python", 0, 0, 0, -6, 0, 0, -6
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\categories\migrations\0001_initial.py", "Python", 0, 0, 0, 40, 1, 7, 48
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\categories\migrations\0002_alter_campo_campo_pk.py", "Python", 0, 0, 0, 12, 1, 6, 19
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\categories\migrations\0003_alter_categoriascampo_campo_fk_and_more.py", "Python", 0, 0, 0, 18, 1, 6, 25
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\categories\models.py", "Python", 0, 0, 0, 19, 0, 9, 28
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\categories\templates\partials\_category_table_body.html", "HTML", 0, 0, 0, 0, 0, 5, 5
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\categories\templates\partials\_category_table_footer.html", "HTML", 0, 0, 2, 0, 0, 1, 3
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\categories\templates\view_categories.html", "HTML", 0, 0, 57, 0, 0, 13, 70
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\categories\urls.py", "Python", 0, 0, 0, 6, 0, 0, 6
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\categories\views.py", "Python", 0, 0, 0, 124, 7, 26, 157
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\common\context_processors.py", "Python", 0, 0, 0, 2, 0, 0, 2
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\core\models.py", "Python", 0, 0, 0, 0, 0, 2, 2
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\core\templates\base.html", "HTML", 0, 0, -55, 0, 15, 2, -38
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\core\templates\paginator.html", "HTML", 0, 0, 42, 0, 3, 5, 50
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\core\templates\partials\search_results.html", "HTML", 0, 0, 69, 0, 0, 6, 75
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\core\templates\print_table.html", "HTML", 0, 0, 38, 0, 0, 4, 42
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\core\urls.py", "Python", 0, 0, 0, 2, 0, 0, 2
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\core\views.py", "Python", 0, 0, 0, 34, -1, 12, 45
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\admin.py", "Python", 0, 0, 0, 1, 1, 2, 4
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\apps.py", "Python", 0, 0, 0, 4, 0, 3, 7
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\migrations\0001_initial.py", "Python", 0, 0, 0, 34, 1, 7, 42
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\migrations\0002_delete_valor.py", "Python", 0, 0, 0, 10, 1, 6, 17
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\migrations\0003_alter_equipos_referencia_fk.py", "Python", 0, 0, 0, 14, 1, 6, 21
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\models.py", "Python", 0, 0, 0, 9, 0, 4, 13
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\templates\equipments.html", "HTML", 0, 0, 112, 0, 0, 7, 119
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\templates\partials\_equipments_table_body.html", "HTML", 0, 0, 34, 0, 0, 3, 37
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\templates\partials\_equipments_table_footer.html", "HTML", 0, 0, 2, 0, 0, 1, 3
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\tests.py", "Python", 0, 0, 0, 1, 1, 2, 4
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\urls.py", "Python", 0, 0, 0, 7, 0, 2, 9
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\views.py", "Python", 0, 0, 0, 99, 1, 28, 128
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\files\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\files\admin.py", "Python", 0, 0, 0, 1, 1, 2, 4
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\files\apps.py", "Python", 0, 0, 0, 4, 0, 3, 7
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\files\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\files\models.py", "Python", 0, 0, 0, 1, 1, 2, 4
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\files\tests.py", "Python", 0, 0, 0, 1, 1, 2, 4
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\files\urls.py", "Python", 0, 0, 0, 7, 0, 1, 8
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\files\views.py", "Python", 0, 0, 0, 164, 8, 42, 214
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\inserts\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\inserts\admin.py", "Python", 0, 0, 0, 1, 1, 2, 4
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\inserts\apps.py", "Python", 0, 0, 0, 4, 0, 3, 7
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\inserts\migrations\0001_initial.py", "Python", 0, 0, 0, 40, 1, 7, 48
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\inserts\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\inserts\models.py", "Python", 0, 0, 0, 22, 0, 6, 28
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\inserts\tests.py", "Python", 0, 0, 0, 1, 1, 2, 4
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\inserts\views.py", "Python", 0, 0, 0, 1, 1, 2, 4
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\logIn\admin.py", "Python", 0, 0, 0, -22, -1, -5, -28
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\logIn\migrations\0001_initial.py", "Python", 0, 0, 0, -163, -1, -7, -171
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\logIn\models.py", "Python", 0, 0, 0, -109, 0, -23, -132
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\logIn\views.py", "Python", 0, 0, 0, -5, -1, 1, -5
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\partsInventory\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\partsInventory\admin.py", "Python", 0, 0, 0, 1, 1, 2, 4
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\partsInventory\apps.py", "Python", 0, 0, 0, 4, 0, 3, 7
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\partsInventory\migrations\0001_initial.py", "Python", 0, 0, 0, 26, 1, 7, 34
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\partsInventory\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\partsInventory\models.py", "Python", 0, 0, 0, 15, 0, 4, 19
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\partsInventory\tests.py", "Python", 0, 0, 0, 1, 1, 2, 4
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\partsInventory\views.py", "Python", 0, 0, 0, 1, 1, 2, 4
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\admin.py", "Python", 0, 0, 0, 1, 0, 0, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\apps.py", "Python", 0, 0, 0, 4, 0, 3, 7
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\migrations\0001_initial.py", "Python", 0, 0, 0, 38, 1, 7, 46
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\migrations\0002_valor.py", "Python", 0, 0, 0, 21, 1, 6, 28
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\migrations\0003_alter_valor_id_pk.py", "Python", 0, 0, 0, 12, 1, 6, 19
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\migrations\0004_alter_valor_campo_fk_alter_valor_referencia_fk.py", "Python", 0, 0, 0, 19, 1, 6, 26
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\migrations\0005_alter_referencias_referencia_pk.py", "Python", 0, 0, 0, 12, 1, 6, 19
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\migrations\0006_alter_archivos_imagen_1_alter_archivos_imagen_2_and_more.py", "Python", 0, 0, 0, 32, 1, 6, 39
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\migrations\0007_alter_archivos_referencia_pk_and_more.py", "Python", 0, 0, 0, 19, 1, 6, 26
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\models.py", "Python", 0, 0, 0, 42, 1, 10, 53
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\templates\edit_reference.html", "HTML", 0, 0, 398, 0, 3, 52, 453
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\templates\partials\_equipment_table_body.html", "HTML", 0, 0, 25, 0, 0, 0, 25
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\templates\partials\_equipment_table_footer.html", "HTML", 0, 0, 2, 0, 0, 0, 2
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\templates\partials\_references_results.html", "HTML", 0, 0, 52, 0, 0, 2, 54
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\templates\partials\_references_results_footer.html", "HTML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\templates\partials\_references_table_body.html", "HTML", 0, 0, 38, 0, 0, 0, 38
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\templates\partials\_references_table_footer.html", "HTML", 0, 0, 2, 0, 0, 0, 2
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\templates\view_all_references.html", "HTML", 0, 0, 51, 0, 0, 11, 62
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\templates\view_references.html", "HTML", 0, 0, 229, 0, 0, 23, 252
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\tests.py", "Python", 0, 0, 0, 1, 1, 2, 4
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\urls.py", "Python", 0, 0, 0, 13, 0, 3, 16
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\views.py", "Python", 0, 0, 0, 262, 17, 80, 359
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\users\templates\partials\_user_table_body.html", "HTML", 0, 0, 30, 0, 0, -1, 29
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\users\templates\partials\_user_table_footer.html", "HTML", 0, 0, 2, 0, 0, 0, 2
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\users\templates\user_edit.html", "HTML", 0, 0, -3, 0, 0, -4, -7
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\users\templates\view_users.html", "HTML", 0, 0, -112, 0, 0, -4, -116
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\users\urls.py", "Python", 0, 0, 0, -3, 0, 0, -3
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\users\views.py", "Python", 0, 0, 0, -103, -8, 23, -88
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\css\styles_general.css", "CSS", 0, 189, 0, 0, 3, 36, 228
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\category_crud.js", "JavaScript", 75, 0, 0, 0, 9, 15, 99
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\confirmations.js", "JavaScript", -122, 0, 0, 0, -6, -13, -141
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\delete_confirmations.js", "JavaScript", 223, 0, 0, 0, 4, 26, 253
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\download_file.js", "JavaScript", 52, 0, 0, 0, 1, 10, 63
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\equipment_crud.js", "JavaScript", 28, 0, 0, 0, 3, 5, 36
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\error_url.js", "JavaScript", -13, 0, 0, 0, -1, -5, -19
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\filter_brands.js", "JavaScript", 30, 0, 0, 0, 2, 4, 36
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\filter_selector.js", "JavaScript", 24, 0, 0, 0, 6, 5, 35
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\static\js\filters.js", "JavaScript", -24, 0, 0, 0, -6, -5, -35
