Date : 2024-10-29 16:44:36
Directory : c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION
Total : 127 files,  2840 codes, 112 comments, 692 blanks, all 3644 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| HTML       |         23 |      1,016 |         21 |        126 |      1,163 |
| JavaScript |         31 |        830 |         40 |        165 |      1,035 |
| Python     |         72 |        805 |         48 |        365 |      1,218 |
| CSS        |          1 |        189 |          3 |         36 |        228 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                      |        127 |      2,840 |        112 |        692 |      3,644 |
| APPLICATION                                                                                                                                            |          2 |          8 |          0 |          4 |         12 |
| apps                                                                                                                                                   |         93 |      1,813 |         69 |        487 |      2,369 |
| apps\activityLog                                                                                                                                       |          3 |          1 |         -1 |         -1 |         -1 |
| apps\categories                                                                                                                                        |         10 |        272 |         10 |         73 |        355 |
| apps\categories (Files)                                                                                                                                |          4 |        143 |          7 |         35 |        185 |
| apps\categories\migrations                                                                                                                             |          3 |         70 |          3 |         19 |         92 |
| apps\categories\templates                                                                                                                              |          3 |         59 |          0 |         19 |         78 |
| apps\categories\templates (Files)                                                                                                                      |          1 |         57 |          0 |         13 |         70 |
| apps\categories\templates\partials                                                                                                                     |          2 |          2 |          0 |          6 |          8 |
| apps\common                                                                                                                                            |          1 |          2 |          0 |          0 |          2 |
| apps\core                                                                                                                                              |          7 |        130 |         17 |         31 |        178 |
| apps\core (Files)                                                                                                                                      |          3 |         36 |         -1 |         14 |         49 |
| apps\core\templates                                                                                                                                    |          4 |         94 |         18 |         17 |        129 |
| apps\core\templates (Files)                                                                                                                            |          3 |         25 |         18 |         11 |         54 |
| apps\core\templates\partials                                                                                                                           |          1 |         69 |          0 |          6 |         75 |
| apps\equipments                                                                                                                                        |         14 |        327 |          6 |         73 |        406 |
| apps\equipments (Files)                                                                                                                                |          7 |        121 |          3 |         42 |        166 |
| apps\equipments\migrations                                                                                                                             |          4 |         58 |          3 |         20 |         81 |
| apps\equipments\templates                                                                                                                              |          3 |        148 |          0 |         11 |        159 |
| apps\equipments\templates (Files)                                                                                                                      |          1 |        112 |          0 |          7 |        119 |
| apps\equipments\templates\partials                                                                                                                     |          2 |         36 |          0 |          4 |         40 |
| apps\files                                                                                                                                             |          8 |        178 |         11 |         54 |        243 |
| apps\files (Files)                                                                                                                                     |          7 |        178 |         11 |         53 |        242 |
| apps\files\migrations                                                                                                                                  |          1 |          0 |          0 |          1 |          1 |
| apps\inserts                                                                                                                                           |          8 |         69 |          4 |         24 |         97 |
| apps\inserts (Files)                                                                                                                                   |          6 |         29 |          3 |         16 |         48 |
| apps\inserts\migrations                                                                                                                                |          2 |         40 |          1 |          8 |         49 |
| apps\logIn                                                                                                                                             |          4 |       -299 |         -3 |        -34 |       -336 |
| apps\logIn (Files)                                                                                                                                     |          3 |       -136 |         -2 |        -27 |       -165 |
| apps\logIn\migrations                                                                                                                                  |          1 |       -163 |         -1 |         -7 |       -171 |
| apps\partsInventory                                                                                                                                    |          8 |         48 |          4 |         22 |         74 |
| apps\partsInventory (Files)                                                                                                                            |          6 |         22 |          3 |         14 |         39 |
| apps\partsInventory\migrations                                                                                                                         |          2 |         26 |          1 |          8 |         35 |
| apps\references                                                                                                                                        |         24 |      1,274 |         29 |        231 |      1,534 |
| apps\references (Files)                                                                                                                                |          7 |        323 |         19 |         99 |        441 |
| apps\references\migrations                                                                                                                             |          8 |        153 |          7 |         44 |        204 |
| apps\references\templates                                                                                                                              |          9 |        798 |          3 |         88 |        889 |
| apps\references\templates (Files)                                                                                                                      |          3 |        678 |          3 |         86 |        767 |
| apps\references\templates\partials                                                                                                                     |          6 |        120 |          0 |          2 |        122 |
| apps\users                                                                                                                                             |          6 |       -189 |         -8 |         14 |       -183 |
| apps\users (Files)                                                                                                                                     |          2 |       -106 |         -8 |         23 |        -91 |
| apps\users\templates                                                                                                                                   |          4 |        -83 |          0 |         -9 |        -92 |
| apps\users\templates (Files)                                                                                                                           |          2 |       -115 |          0 |         -8 |       -123 |
| apps\users\templates\partials                                                                                                                          |          2 |         32 |          0 |         -1 |         31 |
| static                                                                                                                                                 |         32 |      1,019 |         43 |        201 |      1,263 |
| static\css                                                                                                                                             |          1 |        189 |          3 |         36 |        228 |
| static\js                                                                                                                                              |         31 |        830 |         40 |        165 |      1,035 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                               | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\APPLICATION\settings.py                                                                     | Python     |          5 |          0 |          4 |          9 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\APPLICATION\urls.py                                                                         | Python     |          3 |          0 |          0 |          3 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\activityLog\apps.py                                                                    | Python     |          0 |          0 |         -1 |         -1 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\activityLog\utils.py                                                                   | Python     |          0 |         -1 |          0 |         -1 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\activityLog\views.py                                                                   | Python     |          1 |          0 |          0 |          1 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\categories\admin.py                                                                    | Python     |         -6 |          0 |          0 |         -6 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\categories\migrations\0001_initial.py                                                  | Python     |         40 |          1 |          7 |         48 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\categories\migrations\0002_alter_campo_campo_pk.py                                     | Python     |         12 |          1 |          6 |         19 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\categories\migrations\0003_alter_categoriascampo_campo_fk_and_more.py                  | Python     |         18 |          1 |          6 |         25 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\categories\models.py                                                                   | Python     |         19 |          0 |          9 |         28 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\categories\templates\partials\_category_table_body.html                                | HTML       |          0 |          0 |          5 |          5 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\categories\templates\partials\_category_table_footer.html                              | HTML       |          2 |          0 |          1 |          3 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\categories\templates\view_categories.html                                              | HTML       |         57 |          0 |         13 |         70 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\categories\urls.py                                                                     | Python     |          6 |          0 |          0 |          6 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\categories\views.py                                                                    | Python     |        124 |          7 |         26 |        157 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\common\context_processors.py                                                           | Python     |          2 |          0 |          0 |          2 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\core\models.py                                                                         | Python     |          0 |          0 |          2 |          2 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\core\templates\base.html                                                               | HTML       |        -55 |         15 |          2 |        -38 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\core\templates\paginator.html                                                          | HTML       |         42 |          3 |          5 |         50 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\core\templates\partials\search_results.html                                            | HTML       |         69 |          0 |          6 |         75 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\core\templates\print_table.html                                                        | HTML       |         38 |          0 |          4 |         42 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\core\urls.py                                                                           | Python     |          2 |          0 |          0 |          2 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\core\views.py                                                                          | Python     |         34 |         -1 |         12 |         45 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\__init__.py                                                                 | Python     |          0 |          0 |          1 |          1 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\admin.py                                                                    | Python     |          1 |          1 |          2 |          4 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\apps.py                                                                     | Python     |          4 |          0 |          3 |          7 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\migrations\0001_initial.py                                                  | Python     |         34 |          1 |          7 |         42 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\migrations\0002_delete_valor.py                                             | Python     |         10 |          1 |          6 |         17 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\migrations\0003_alter_equipos_referencia_fk.py                              | Python     |         14 |          1 |          6 |         21 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\migrations\__init__.py                                                      | Python     |          0 |          0 |          1 |          1 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\models.py                                                                   | Python     |          9 |          0 |          4 |         13 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\templates\equipments.html                                                   | HTML       |        112 |          0 |          7 |        119 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\templates\partials\_equipments_table_body.html                              | HTML       |         34 |          0 |          3 |         37 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\templates\partials\_equipments_table_footer.html                            | HTML       |          2 |          0 |          1 |          3 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\tests.py                                                                    | Python     |          1 |          1 |          2 |          4 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\urls.py                                                                     | Python     |          7 |          0 |          2 |          9 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\views.py                                                                    | Python     |         99 |          1 |         28 |        128 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\files\__init__.py                                                                      | Python     |          0 |          0 |          1 |          1 |
| c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\files\admin.py                                                                         | Python     |          1 |          1 |          2 |          4 |
